"var","mean","sd","min","max","n"
"treat",0.47,0.5,0,1,10398
"run_var",-0.03,2.09,-3,3,10398
"lose",0.48,0.5,0,1,10398
"win",0,0,0,0,10398
"even",0.52,0.5,0,1,10398
"trust_leader",5.33,3.97,0,10,10097
"trust_mp",4.82,3.66,0,10,9962
"trust_local",4.53,3.63,0,10,9924
"trust_ruling_party",4.47,3.79,0,10,9992
"trust_opp_party",3.89,3.5,0,10,9879
"trust_police",4.98,3.73,0,10,10175
"trust_army",6.43,3.62,0,10,9326
"trust_court",5.51,3.59,0,10,9991
"performance_leader",5.25,3.52,0,10,9892
"performance_mp",4.58,3.15,0,10,9305
"performance_local",4.51,3.16,0,10,9337
"respondent_mood",9.08,1.64,0,10,10397
"respondent_friendly",9.49,1.61,0,10,10396
"respondent_interested",9.09,2.13,0,10,10395
"respondent_cooperative",9.27,1.94,0,10,10397
"respondent_patient",8.97,2.34,0,10,10397
"respondent_ease",8.74,2.65,0,10,10396
"respondent_honest",8.93,2.32,0,10,10395
"national_identity",6.93,3.08,0,10,8177
"age",37.12,14.34,18,100,10348
"female",0.5,0.5,0,1,10398
"muslim",0.28,0.45,0,1,10327
"christ",0.6,0.49,0,1,10327
"educ",0.81,0.39,0,1,10362
"employed",0.32,0.47,0,1,10354
"no_food",1.12,1.27,0,4,10388
"no_water",1.12,1.38,0,4,10390
"no_medical",1.26,1.35,0,4,10359
"no_fuel",0.8,1.14,0,4,10365
"no_cash",1.99,1.43,0,4,10371
"p_score",57.11,10.95,36.99,85.36,10398
"econ_future",5.5,3.35,0,10,9424
"econ_present",3.46,3.21,0,10,10263
"econ_past",4.38,2.83,0,10,10247
"discuss_politics",4.48,3.57,0,10,10321
"raise_issue",4.24,3.29,0,10,10325
"contact_officials",0.63,1.99,0,10,9992
"contact_mp",0.46,1.7,0,10,9996
"contact_party",0.58,1.91,0,10,9216
