"var","mean","sd","min","max","n"
"treat",0.42,0.49,0,1,9410
"run_var",-0.32,2.09,-3,3,9410
"lose",0,0,0,0,9410
"win",0.43,0.5,0,1,9410
"even",0.57,0.5,0,1,9410
"trust_leader",5.41,3.89,0,10,9139
"trust_mp",4.79,3.59,0,10,8971
"trust_local",4.4,3.51,0,10,8923
"trust_ruling_party",4.65,3.76,0,10,9016
"trust_opp_party",3.78,3.39,0,10,8869
"trust_police",5.05,3.6,0,10,9244
"trust_army",6.79,3.47,0,10,8377
"trust_court",5.68,3.51,0,10,9070
"performance_leader",5.32,3.43,0,10,8967
"performance_mp",4.66,3.05,0,10,8433
"performance_local",4.43,3.07,0,10,8091
"respondent_mood",8.96,1.72,0,10,9408
"respondent_friendly",9.43,1.7,0,10,9407
"respondent_interested",8.98,2.24,0,10,9406
"respondent_cooperative",9.13,2.09,0,10,9408
"respondent_patient",8.77,2.5,0,10,9408
"respondent_ease",8.58,2.74,0,10,9407
"respondent_honest",8.88,2.33,0,10,9407
"national_identity",7.01,3.03,0,10,7345
"age",37.57,14.64,18,100,9359
"female",0.5,0.5,0,1,9410
"muslim",0.37,0.48,0,1,9320
"christ",0.54,0.5,0,1,9320
"educ",0.83,0.38,0,1,9379
"employed",0.35,0.48,0,1,9384
"no_food",0.9,1.17,0,4,9404
"no_water",1.04,1.32,0,4,9405
"no_medical",1.07,1.28,0,4,9389
"no_fuel",0.73,1.08,0,4,9381
"no_cash",1.67,1.46,0,4,9390
"p_score",54.62,10.21,31.57,79.13,9410
"econ_future",5.72,3.18,0,10,8523
"econ_present",3.7,3.26,0,10,9266
"econ_past",4.4,2.72,0,10,9247
"discuss_politics",4.54,3.48,0,10,9342
"raise_issue",3.83,3.25,0,10,9354
"contact_officials",0.63,1.96,0,10,9345
"contact_mp",0.35,1.45,0,10,9345
"contact_party",0.49,1.71,0,10,8594
